Year,Month,Day,Hour,TwitterVolume
2011,11,03,03,54512
2011,11,03,04,65411
2011,11,03,05,80093
2011,11,03,06,91310
2011,11,03,07,104739
2011,11,03,08,112757
2011,11,03,09,116503
2011,11,03,10,106877
2011,11,03,11,95445
2011,11,03,12,89764
2011,11,03,13,95348
2011,11,03,14,96821
2011,11,03,15,104541
2011,11,03,16,113383
2011,11,03,17,115864
2011,11,03,18,112910
2011,11,03,19,111849
2011,11,03,20,102929
2011,11,03,21,92505
2011,11,03,22,76906
2011,11,03,23,64470
2011,11,04,00,55302
2011,11,04,01,51444
2011,11,04,02,53811
2011,11,04,03,56096
2011,11,04,04,65161
2011,11,04,05,79214
2011,11,04,06,95437
2011,11,04,07,105335
2011,11,04,08,117168
2011,11,04,09,118984
2011,11,04,10,108333
2011,11,04,11,98025
2011,11,04,12,90503
2011,11,04,13,88744
2011,11,04,14,91574
2011,11,04,15,99208
2011,11,04,16,102566
2011,11,04,17,103809
2011,11,04,18,104071
2011,11,04,19,104431
2011,11,04,20,101285
2011,11,04,21,94675
2011,11,04,22,81563
2011,11,04,23,69490
2011,11,05,00,57867
2011,11,05,01,54302
2011,11,05,02,53113
2011,11,05,03,58192
2011,11,05,04,60713
2011,11,05,05,70360
2011,11,05,06,85155
2011,11,05,07,101909
2011,11,05,08,116114
2011,11,05,09,121229
2011,11,05,10,114545
2011,11,05,11,104938
2011,11,05,12,94691
2011,11,05,13,87318
2011,11,05,14,88521
2011,11,05,15,93169
2011,11,05,16,94389
2011,11,05,17,98390
2011,11,05,18,104449
2011,11,05,19,105310
2011,11,05,20,105796
2011,11,05,21,103571
2011,11,05,22,89541
2011,11,05,23,75780
2011,11,06,00,0
2011,11,06,01,113616
2011,11,06,02,56358
2011,11,06,03,64520
2011,11,06,04,72831
2011,11,06,05,86612
2011,11,06,06,101382
2011,11,06,07,116545
2011,11,06,08,117329
2011,11,06,09,109468
2011,11,06,10,103997
2011,11,06,11,104824
2011,11,06,12,110027
2011,11,06,13,127096
2011,11,06,14,127314
2011,11,06,15,117335
2011,11,06,16,111447
2011,11,06,17,112280
2011,11,06,18,113337
2011,11,06,19,113901
2011,11,06,20,108838
2011,11,06,21,96154
2011,11,06,22,74001
2011,11,06,23,61133
2011,11,07,00,55554
2011,11,07,01,53178
2011,11,07,02,55301
2011,11,07,03,60950
2011,11,07,04,74209
2011,11,07,05,89979
2011,11,07,06,100560
2011,11,07,07,99443
2011,11,07,08,103625
2011,11,07,09,97867
2011,11,07,10,94171
2011,11,07,11,89924
2011,11,07,12,92501
2011,11,07,13,98403
2011,11,07,14,117634
2011,11,07,15,123953
2011,11,07,16,122695
2011,11,07,17,114733
2011,11,07,18,113517
2011,11,07,19,109550
2011,11,07,20,101966
2011,11,07,21,87795
2011,11,07,22,70288
2011,11,07,23,57634
2011,11,08,00,52394
2011,11,08,01,52704
2011,11,08,02,57101
2011,11,08,03,61630
2011,11,08,04,73163
2011,11,08,05,84169
2011,11,08,06,84351
2011,11,08,07,106698
2011,11,08,08,116365
2011,11,08,09,107492
2011,11,08,10,97290
2011,11,08,11,92699
2011,11,08,12,91125
2011,11,08,13,96240
2011,11,08,14,105275
2011,11,08,15,116925
2011,11,08,16,117976
2011,11,08,17,114448
2011,11,08,18,110918
2011,11,08,19,106292
2011,11,08,20,100462
2011,11,08,21,85104
2011,11,08,22,67059
2011,11,08,23,57761
2011,11,09,00,52847
2011,11,09,01,54816
2011,11,09,02,55077
2011,11,09,03,62013
2011,11,09,04,73350
2011,11,09,05,90811
2011,11,09,06,102612
2011,11,09,07,111695
2011,11,09,08,114398
2011,11,09,09,105282
2011,11,09,10,96898
2011,11,09,11,89866
2011,11,09,12,89864
2011,11,09,13,95487
2011,11,09,14,108482
2011,11,09,15,114782
2011,11,09,16,116075
2011,11,09,17,112430
2011,11,09,18,117925
